nhibernate/NHibernate.AspNet.Identity
openssl-net/openssl-net
RazorGenerator/RazorGenerator
GeoJSON-Net/GeoJSON.Net
nodatime/nodatime
IdentityServer/IdentityServer3.AccessTokenValidation
grahammendick/navigation
IdentityModel/AuthorizationServer
IdentityServer/IdentityServer3
elastic/elasticsearch-net
coveralls-net/coveralls.net
aspnet/DNX
helios-io/helios
eswann/Mapster
tfsaggregator/tfsaggregator
xunit/samples.xunit
mandest/Nap
ArxOne/MrAdvice
EHVAG/demoinfo
Jossef/edsdk-wrapper
weltkante/managed-lzma
Microsoft/Microsoft.IO.RecyclableMemoryStream
exceptionless/Foundatio
johnkors/IdentityServer3.Contrib.Localization
autofac/Autofac.Extras.DynamicProxy
OpenCoverUI/OpenCover.UI
mspnp/semantic-logging
IdentityModel/Thinktecture.IdentityModel.45
oxidemod/Oxide
basho-labs/riak-dotnet-client
dotnet/orleans
int6/uhttpsharp
voat/voat
aspnet/XRE
dotnet/corefxlab
int6/CoiniumServ
cmatskas/Azure.Storage
RolandPheasant/DynamicData.ReactiveUI
WildGums/Orchestra
yevhen/Orleankka
VocaDB/vocadb
Anna-Rx/Anna
NuGet/NuGet.VisualStudioExtension
ByteBlast/Validator
kria/TfsNotificationRelay
arenanet/socknet
shadowsocks/shadowsocks-csharp
NDbUnit/NDbUnit
bugsnag/bugsnag-dotnet
dotliquid/dotliquid
danbarua/NEventSocket
andyfmiller/LtiLibrary
SnowflakePowered/snowflake
NuGet/NuGet.PackageManagement
Maxhy/dokany
ghuntley/Conditions
Shazwazza/Smidge
Taggersoft/SharpTelegram
riipah/vocadb
Alex141/CalcBinding
LateRoomsGroup/GoDashboard
SphtKr/JSONAPI.NET
wildbunny/metaexchange
FransBouma/LinqToSQL2
jestonedev/ActivityManager
remyvd/NodaMoney
KentorIT/owin-cookie-saver
CosmosOS/Cosmos
GlobalPhone/GlobalPhone
dubeaud/bugnet
cake-build/bootstrapper
TwoMaKing/EApp
ritterim/sandbox
OrchardCMS/Brochard
Cimpress-MCP/TimberWinR
nachmore/unBand
louthy/language-ext
yysun/git-tools
jonsequitur/Its.Cqrs
AdaptiveConsulting/ReactGraph
ButchersBoy/Dragablz
exactonline/ClientSDK
EgorBo/Xamaridea
Wintellect/Wintellect.Analyzers
neolithos/neolua
apache/lucenenet
InvisibleShield/FFXIV-Zodiac-Glass
FubarDevelopment/restsharp.portable
sharpdx/Toolkit
GeorgeHahn/SOVND
retailcoder/Rubberduck
meshmash/Plankton
DotNetAnalyzers/StyleCopAnalyzers
dotnet/corefx
PolarisTeam/PolarisServer
ParticularLabs/GitVersion
KSP-RO/RealismOverhaul
code-cracker/code-cracker
Azure/azure-powershell
riganti/redwood
fluentribbon/Fluent.Ribbon
frankhommers/Hangfire.PostgreSql
spazzarama/SharedMemory
terrajobst/NQuery
Real-Serious-Games/C-Sharp-Promise
Sonarr/Sonarr
somdoron/AsyncIO
colored-console/colored-console
PayPal/PayPal-NET-SDK
NonFactors/MVC.Grid
OmniSharp/omnisharp-server
OmniSharp/OmniSharpServer
neuecc/LINQ-to-GameObject-for-Unity
brucedog/u2flib
RIT-MAGIC/JustPressPlay
adammhaile/Elpis
Tulpep/Active-Directory-Object-Picker
moritzuehling/DemoInfo-public
CodeConnect/SourceBrowser
JudahGabriel/RavenDB.ModernMvcStarterKit
BruTile/BruTile
XLabs/Xamarin-Forms-Labs
Warewolf-ESB/Warewolf-ESB
mjsabby/RoslynClrHeapAllocationAnalyzer
mike-ward/Markdown-Edit
dnGrep/dnGrep
Litipk/ColorSharp
ethomson/infinity.net
affandar/durabletask
ntent-ad/kafka4net
kentcb/PCLMock
jefking/King.Service
jni4net/jni4net
runceel/ReactiveProperty
rowanmiller/Demo-EF7
Swarmops/Swarmops
mike-ward/tweetz-desktop
Keboo/PebbleSharp
NiclasOlofsson/MiNET
YoloDev/elephanet
bordoley/SQLitePCL.pretty
biscuit314/PointW.WebApi.ResourceModel
MartinChavez/School-of-CSharp
PolarbearDK/Miracle.FileZilla.Api
Gandalis/SignalR.Client.TypedHubProxy
ziyasal/InfluxDB.Net
SamHurne/gw2pao
TheBerkin/Rant
worldexplorer/SquareOne
couchbase/couchbase-lite-net
philiplaureano/Deflector.NET
elbandit/PPPDDD
AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet
bitbeans/StreamCryptor
CityofSantaMonica/SODA.NET
phogue/Potato
flumbee/mobiledb
Hihaj/SlackCommander
WebApiContrib/CollectionJson.Net
Knagis/CommonMark.NET
re-motion/Relinq
Microsoft/Win2D
justeat/ZendeskApiClient
AzureAD/azure-activedirectory-library-for-dotnet
aspnet/Scaffolding
nhibernate/NHibernate.Spatial
wudixiaop/ShaderlabVS
objorke/PropertyTools
objorke/QuantityTypes
GreanTech/AtomEventStore
NetTopologySuite/ProjNet4GeoAPI
mmanela/diffplex
ArcticEcho/Phamhilator
csharptest/CSharpTest.Net.Collections
CatenaLogic/GitLink
helix-toolkit/helix-toolkit
OData/odata.net
terrajobst/nuproj
kria/Tfs2Slack
MortenHoustonLudvigsen/KarmaTestAdapter
LightBlueProject/LightBlue
kriasoft/AspNet-Server-Template
jefking/King.Azure.Imaging
MRCollective/AspNet.Mvc.Grid
hudl/HudlFfmpeg
PistonDevelopers/VisualRust
oxyplot/oxyplot
d60/Cirqus
Lunch-box/SimpleOrderRouting
mono/CocosSharp
TimSchlechter/Swagger.Codegen.Net
Quobject/EngineIoClientDotNet
pmhsfelix/drum
tonysneed/trackable-entities
shiftkey/ReactiveGit
pvginkel/PdfiumViewer
duplicati/duplicati
Azure/azure-mobile-services-resourcebroker
ClothesHorse/microscope
NetTopologySuite/NetTopologySuite
Azure-Readiness/DevCamp
owin/museum-piece-gate
cityindex/LogSearchShipper
ServiceStack/ServiceStackVS
red-gate/XmlDoc2CmdletDoc
mj1856/TimeZoneNames
OfficeDev/PnP
RickStrahl/WestWindWebSurge
Apokee/Ketchup
justeat/JustSaying
somedave/FluentBootstrap
madskristensen/JSON-Intellisense
POPWorldMedia/POPForums
codecadwallader/codemaid
logsearch/LogSearchShipper
VaughnVernon/Dotsero
jeske/SimpleScene
thinktecture/Thinktecture.IdentityServer.v3.EntityFramework
SEEK-Jobs/pact-net
michaellperry/Assisticant
Rohansi/Mond
buybackoff/Ractor.CLR
EventStore/buffer-manager
MakoLab/RomanticWeb
googleads/googleads-dotnet-lib
adamyeager/PushbulletSharp
mikecann/UnityAshteroids
RaYell/selenium-webdriver-extensions
jaredpar/EasyMotion
madelson/MedallionShell
marco-calautti/Rainbow
