Project_Name,Count_packages,Sum_LOC,Average_LOC,Pareto_category,Language
4pr0n_ripme,9,12103,94.5546875,30,Java
abel533_ECharts,14,18196,127.2447552,20,Java
abel533_Mapper,61,23498,42.646098,30,Java
abrensch_brouter,11,19460,104.6236559,40,Java
acciente_oacc-core,13,46785,182.0428016,20,Java
Accla_d4m_api_java,18,24183,101.6092437,20,Java
aceleradora6-tw_RegistroLivre,8,1531,41.37837838,40,Java
addthis_hydra,75,89103,74.43859649,20,Java
addthis_meshy,6,5747,68.41666667,30,Java
AdoptOpenJDK_mjprof,19,3057,33.59340659,30,Java
akquinet_vaadinator,36,9481,56.77245509,30,Java
Alexey1Gavrilov_expectit,9,4796,51.56989247,30,Java
allanbank_mongodb-async-driver,36,121177,193.5734824,20,Java
altamiracorp_honeycomb,15,8461,69.92561983,30,Java
andrewgaul_modernizer-maven-plugin,2,1708,47.44444444,30,Java
andrewgaul_s3proxy,2,6195,119.1346154,30,Java
andytill_erlyberly,6,6386,92.55072464,30,Java
antoniomaria_gazpachoquest,87,19090,33.55008787,30,Java
apache_airavata,198,1475923,177.8863445,30,Java
apache_curator,56,45667,67.2562592,30,Java
apache_drill,323,1285414,78.8936353,20,Java
apache_incubator-samoa,50,34244,77.12612613,30,Java
apache_incubator-tamaya,11,33884,66.1796875,40,Java
apache_incubator-twill,24,24185,55.9837963,40,Java
apache_jackrabbit-filevault,42,58032,91.10204082,20,Java
apache_knox,194,91116,59.78740157,10,Java
apache_metamodel,48,60557,66.69273128,20,Java
apache_olingo-odata2,109,125131,94.01277235,30,Java
apache_olingo-odata4,146,146163,60.29826733,30,Java
apache_servicemix,30,2783,26.25471698,20,Java
apache_storm,333,362225,90.85151743,20,Java
apache_struts,183,185417,69.86322532,20,Java
apache_struts-examples,49,6312,32.53608247,30,Java
apache_tajo,162,876694,245.6413561,10,Java
apache_uima-uimafit,34,22413,53.36428571,10,Java
Appendium_flatpack,28,7138,72.83673469,20,Java
Appendium_objectlabkit,24,16220,55.54794521,20,Java
appium_java-client,40,14253,44.12693498,10,Java
arangodb_arangodb-java-driver,32,31820,90.65527066,20,Java
ArcBees_gwtquery-draggable-plugin,14,10165,66.00649351,30,Java
ArcBees_gwtquery-tooltip-plugin,13,5932,42.07092199,20,Java
Archarithms_bigio,14,8409,60.93478261,30,Java
arnohaase_a-base,13,17828,81.40639269,20,Java
arquillian_arquillian-cube,125,35835,44.1317734,10,Java
ArtificerRepo_artificer,144,81576,63.98117647,30,Java
astefanutti_camel-cdi,13,7494,31.09543568,30,Java
ATLauncher_ATLauncher,43,24826,92.63432836,10,Java
att_XACML,47,88638,132.2955224,30,Java
audit4j_audit4j-core,27,15684,70.64864865,10,Java
augustt198_lumen,30,6267,36.86470588,20,Java
avandeursen_jpacman-framework-v5,5,2301,76.7,30,Java
awslabs_aws-ant-tasks,5,4930,71.44927536,40,Java
awslabs_aws-dynamodb-encryption-java,17,21191,95.45495495,20,Java
awslabs_aws-sdk-java-resources,15,16559,57.69686411,40,Java
AzureAD_azure-activedirectory-library-for-java,2,3811,56.88059701,30,Java
Azure_azure-documentdb-java,3,2976,63.31914894,20,Java
Baqend_Orestes-Bloomfilter,7,4476,99.46666667,40,Java
basis-technology-corp_tcl-regex-java,1,6020,128.0851064,60,Java
