Project,Pareto_category
4pr0n_ripme,30
ATLauncher_ATLauncher,10
Accla_d4m_api_java,20
AdoptOpenJDK_mjprof,30
Alexey1Gavrilov_expectit,30
Appendium_flatpack,20
Appendium_objectlabkit,20
ArcBees_gwtquery-draggable-plugin,30
ArcBees_gwtquery-tooltip-plugin,20
Archarithms_bigio,30
ArtificerRepo_artificer,30
AzureAD_azure-activedirectory-library-for-java,30
Azure_azure-documentdb-java,20
Baqend_Orestes-Bloomfilter,40
BjoernKW_ZenQuery,20
CalebFenton_simplify,20
CaptainBern_Reflection,10
CloudSlang_cloud-slang,30
Cloudslab_cloudsim,30
Co0sh_BetonQuest,20
CorfuDB_CorfuDB,10
DABSquared_gitlab-plugin,20
DICE-UNC_idrop,40
DICE-UNC_jargon,20
DataDog_jmxfetch,30
Devexperts_aprof,30
ESAPI_esapi-java-legacy,30
Eldelshell_jongo,30
ElectronicChartCentre_java-vector-tile,30
EsmerilProgramming_cloverx,20
EugeneKay_subsonic,20
Evil-Co_NBT-Lib,20
ExactTarget_fuel-java,40
FasterXML_jackson-dataformat-cbor,60
Firebase_geofire-java,40
FlexTradeUKLtd_jfixture,20
Flow_Caustic,30
Flow_React,20
Flow_engine,10
Flow_nbt,20
Flow_network,20
GlenKPeterson_fp4java7,30
GlowstoneMC_Glowstone,20
GluuFederation_oxAuth,10
GluuFederation_oxTrust,10
GoogleCloudPlatform_bigdata-interop,40
GoogleCloudPlatform_gcloud-java,30
GrammarViz2_grammarviz2_src,30
Graphify_graphify,10
Graphity_graphity-client,10
GumTreeDiff_gumtree,10
HPI-Information-Systems_Metanome,40
HadoopGenomics_Hadoop-BAM,40
HdrHistogram_HdrHistogram,20
HearthStats_HearthStats.net-Uploader,30
HolmesNL_kafka-spout,50
HotswapProjects_HotswapAgent,20
IKCAP_wings,20
JCTools_JCTools,40
JDatePicker_JDatePicker,30
JasonRuckman_sidney,20
Jimmy-Shi_bean-query,40
JodaOrg_joda-collect,60
KittehOrg_KittehIRCClientLib,10
Kixeye_chassis,20
Kixeye_kixmpp,20
KleeGroup_vertigo,30
KronicDeth_intellij-elixir,10
Kurento_kurento-java,20
LucidWorks_spark-solr,30
MALfunction84_psi-probe,30
MesquiteProject_MesquiteCore,10
Microsoft_AppInsights-Java,20
MightyPirates_OpenComputers,30
MinecraftForge_FernFlower,20
NFSdb_nfsdb,20
NLPchina_ansj_seg,10
NLPchina_elasticsearch-sql,10
NLPchina_nlp-lang,30
NetApp_NetApp-Hadoop-NFS-Connector,20
Netflix_Surus,30
Netflix_spectator,10
NirmataOSS_workflow,30
Nodeclipse_EditBox,40
OAuth-Apis_apis,20
OHDSI_WebAPI,10
OPENNETWORKINGLAB_OpenVirteX,20
ObeoNetwork_UML-Designer,20
OfficeDev_ews-java-api,10
OpenClinica_OpenClinica,30
OpenHFT_Chronicle-Bytes,20
OpenHFT_Chronicle-Core,30
OpenHFT_Chronicle-Map,20
OpenHFT_Chronicle-Queue,10
OpenHFT_Chronicle-Wire,20
OpenNMS_newts,40
OpenSOC_opensoc-streaming,20
OpenTOSCA_container,10
OrbitzWorldwide_consul-client,30
OryxProject_oryx,40
PasaLab_Tachyon-Perf,20
PayPal_SeLion,20
PhantomYdn_wicket-orientdb,20
PhonyTive_astivetoolkit,30
Plaid_plaid-java,40
Pragmatists_junitparams,30
RNCryptor_JNCryptor,60
Rayman2200_PDFA3,40
ReactiveX_RxJava,20
RentTheRunway2_alchemy,20
RestExpress_RestExpress-Examples,20
RichardWarburton_java-8-lambdas-exercises,40
RobotiumTech_robotium,60
RuedigerMoeller_kontraktor,30
SanderGielisse_Enderstone,20
SharedKnowledge_SharkFW,20
ShifuML_guagua,20
SomMeri_matasano-cryptopals-solutions,30
SonarSource_sonarqube,20
SpongePowered_Artemis,20
SpongePowered_Mixin,20
SpringData_spring-data-cassandra,30
Steveice10_MCProtocolLib,30
Stratehm_stratum-proxy,20
Stratio_crossdata,30
Stratio_flume-ingestion,20
Stratio_stratio-ingestion,20
Stratio_stratio-meta,30
Stratio_stratio-streaming,10
Stratio_streaming-cep-engine,10
SurveyMan_SurveyMan,20
TDesjardins_GWT-OL3-Playground,20
TEAMMATES_repo,20
TechzoneMC_NPCLib,20
TheHolyWaffle_League-of-Legends-XMPP-Chat-Library,30
TheHolyWaffle_TeamSpeak-3-Java-API,40
TheLQ_PircBotX,30
TomasMikula_EasyBind,40
TomasMikula_ReactFX,20
TomasMikula_RichTextFX,40
TrsstProject_trsst,20
Vincentyification_JavaBot,30
WASdev_standards.jsr352.jbatch,30
WhisperSystems_PushServer,30
WhisperSystems_WebSocket-Resources,30
WhisperSystems_libaxolotl-android,30
Wolfgang-Schuetzelhofer_jcypher,30
XiaoMi_chronos,40
XiaoMi_themis,30
Yubico_java-u2flib-server,20
abel533_ECharts,20
abel533_Mapper,30
abrensch_brouter,40
acciente_oacc-core,20
aceleradora6-tw_RegistroLivre,40
addthis_hydra,20
addthis_meshy,30
akquinet_vaadinator,30
allanbank_mongodb-async-driver,20
altamiracorp_honeycomb,30
andrewgaul_modernizer-maven-plugin,30
andrewgaul_s3proxy,30
andytill_erlyberly,30
antoniomaria_gazpachoquest,30
apache_airavata,30
apache_curator,30
apache_drill,20
apache_incubator-samoa,30
apache_incubator-tamaya,40
apache_incubator-twill,40
apache_jackrabbit-filevault,20
apache_knox,10
apache_metamodel,20
apache_olingo-odata2,30
apache_olingo-odata4,30
apache_servicemix,20
apache_storm,20
apache_struts,20
apache_struts-examples,30
apache_tajo,10
apache_uima-uimafit,10
appium_java-client,10
arangodb_arangodb-java-driver,20
arnohaase_a-base,20
arquillian_arquillian-cube,10
astefanutti_camel-cdi,30
att_XACML,30
audit4j_audit4j-core,10
augustt198_lumen,20
avandeursen_jpacman-framework-v5,30
awslabs_aws-ant-tasks,40
awslabs_aws-dynamodb-encryption-java,20
awslabs_aws-sdk-java-resources,40
basis-technology-corp_tcl-regex-java,60
bedrin_jdbc-sniffer,20
bedrin_jsonde,20
benas_easy-batch,30
benjiman_expressions,40
biboudis_streamalg,30
bitcoin-solutions_multibit-website,20
bitcoinj_bitcoinj,20
blockchain_api-v1-client-java,20
bonigarcia_dualsub,40
brettwooldridge_HikariJSON,50
bruno-medeiros_DDT,20
buschmais_extended-objects,20
bytedeco_javacpp,50
bywan_trello-java-wrapper,20
c4fcm_CLIFF,20
caelum_mamute,10
caelum_vraptor-panettone,30
calrissian_flowmix,30
camelinaction_camelinaction,30
caoxinyu_RedisClient,10
caskdata_cdap,20
caskdata_coopr,30
caskdata_tephra,30
castlabs_dashencrypt,30
cecom_pomutils,30
ceph_cephfs-hadoop,30
ceskaexpedice_kramerius,20
cglib_cglib,40
chanedi_QuickProject,20
chanjarster_tomcat-mongo-access-log,40
chanjarster_weixin-java-tools,30
chaupal_jxse,20
chenlb_mmseg4j-core,20
cinovo_cloudconductor-server,30
citerus_bookstore-cqrs-example,30
clinejj_foursquare-api-java,30
cloudera_cm_ext,30
codecentric_spring-boot-starter-batch-web,30
codefollower_Tomcat-Research,20
codeine-cd_codeine,10
codelibs_elasticsearch-cluster-runner,20
codelibs_elasticsearch-taste,30
cognitect_transit-java,20
commons-rdf_commons-rdf,30
consulo_consulo-dotnet,20
contentful_contentful-management.java,30
copper-engine_copper-engine,30
cternes_openkeepass,40
cybergarage_cybergarage-upnp,30
damiencarol_jsr203-hadoop,60
dangdangdotcom_config-toolkit,20
danielflower_multi-module-maven-release-plugin,50
danmbox_briss2,50
darcy-framework_darcy-ui,30
darcy-framework_darcy-webdriver,30
dart-maven-plugin_dart-maven-plugin,30
dashbuilder_dashbuilder,30
databricks_learning-spark,40
datanucleus_datanucleus-core,20
davidmoten_rtree,20
davidmoten_rxjava-extras,30
davidmoten_rxjava-jdbc,30
dbfit_dbfit,20
ddavison_conductor,30
devnied_EMV-NFC-Paycard-Enrollment,30
dgageot_simplelenium,20
dibbhatt_kafka-spark-consumer,30
digidotcom_XBeeJavaLibrary,10
digitalfondue_lavagna,30
dobrynya_nomin,30
documents4j_documents4j,40
dpaukov_combinatoricslib,20
drankye_haox,30
dropwizard_dropwizard-java8,20
dropwizard_dropwizard-protobuf,20
dropwizard_metrics,40
druid-io_druid,20
dschulten_hydra-java,40
dswarm_dswarm,40
eXparity_hamcrest-date,40
ebay_oink,40
eclipse-jetty_eclipse-jetty-plugin,20
eclipse_leshan,40
eclipsesource_J2V8,40
edgedalmacio_phisix,20
edwardcapriolo_nibiru,30
effektif_effektif,40
ehcache_ehcache-jcache,30
ehcache_sizeof,30
elibom_jogger,40
embulk_embulk,20
englishtown_vertx-cassandra,20
englishtown_vertx-jersey,30
englishtown_vertx-when,20
enonic_xp,20
eseifert_gral,40
eseifert_vectorgraphics2d,30
esigate_esigate,20
ethereum_ethereumj,10
etsy_statsd-jvm-profiler,30
evrythng_evrythng-java-sdk,30
expercise_expercise,20
extjwnl_extjwnl,30
exxeleron_qJava,50
fabric8io_quickstarts,20
feroult_yawp,10
fesh0r_fernflower,20
fhoeben_hsac-fitnesse-fixtures,20
fhussonnois_storm-trident-elasticsearch,20
fiji_Stitching,40
fiji_TrackMate,20
fiji_Trainable_Segmentation,40
filoghost_HolographicDisplays,10
finn-no_cassandra-hadoop,40
fizzed_java-stork,10
fizzed_stork,10
flaxsearch_luwak,30
flipkart-incubator_Lois,10
flipkart-incubator_foxtrot,10
