Project Name,Count packages,Sum LOC,Average LOC,Pareto category
Flow_Caustic,11,9716,110.4090909,30
Flow_engine,61,14056,61.64912281,10
Flow_nbt,8,2219,55.475,20
Flow_network,12,1549,43.02777778,20
Flow_React,13,13890,165.3571429,20
fluo-io_fluo,45,30355,68.83219955,30
forge_roaster,9,11627,67.20809249,40
foxinmy_weixin4j,103,55839,85.90615385,20
freemarker_fmpp,9,20023,113.7670455,40
freenet_plugin-Freetalk,10,18804,109.9649123,20
galenframework_galen,51,20647,48.69575472,20
ganshane_shakey,8,16045,86.72972973,40
geckoboard-java-api_highchart-java-api,12,3988,78.19607843,20
geftimov_MapReduce,25,3634,41.77011494,10
getsentry_raven-java,34,14514,63.37991266,20
gid15_jpcsp,93,318380,161.0419828,10
glazedlists_glazedlists,46,103040,87.17428088,20
GlenKPeterson_fp4java7,9,21952,79.53623188,30
glowroot_glowroot,90,672059,160.2811829,30
GlowstoneMC_Glowstone,99,154102,57.67290419,20
GluuFederation_oxAuth,128,93496,122.0574413,10
GluuFederation_oxTrust,106,55596,88.9536,10
gmantele_taplib,44,74798,188.4080605,20
gonmarques_cdi-properties,13,1423,27.36538462,10
GoogleCloudPlatform_bigdata-interop,11,30544,96.96507937,40
GoogleCloudPlatform_gcloud-java,28,17209,60.38245614,30
googlegenomics_dataflow-java,12,8263,44.66486486,50
googlemaps_google-maps-services-java,5,20658,59.02285714,30
google_acai,1,1709,23.73611111,60
google_closure-compiler,37,330449,156.0930562,20
google_closure-stylesheets,5,47590,85.74774775,30
google_closure-templates,69,176579,89.36184211,20
google_error-prone,42,107144,53.01533894,20
google_google-api-java-client,24,23024,119.2953368,30
google_google-auth-library-java,4,9029,88.51960784,40
google_google-http-java-client,25,28051,73.24020888,30
google_google-oauth-java-client,11,7112,68.38461538,30
google_guice,32,111375,41.09778598,30
google_identity-toolkit-java-client,1,1476,77.68421053,60
google_jimfs,1,17757,119.9797297,60
google_truth,6,61005,130.0746269,30
gosu-lang_gosu-lang,177,230324,79.06762788,20
GrammarViz2_grammarviz2_src,12,6506,112.1724138,30
graphaware_neo4j-algorithms,8,2360,38.68852459,40
graphaware_neo4j-noderank,2,1346,49.85185185,50
Graphify_graphify,11,2582,92.21428571,10
Graphity_graphity-client,18,3011,75.275,10
gravel-st_gravel,9,43119,59.72160665,30
gridkit_nanocloud,33,59445,70.34911243,20
groupon_DotCi,32,8935,39.36123348,10
groupon_odo,15,13833,150.3586957,30
grpc_grpc-java,50,128958,78.01451906,20
GumTreeDiff_gumtree,36,64016,142.5746102,10
gwtbootstrap3_gwtbootstrap3,19,28606,42.82335329,40
gwtbootstrap3_gwtbootstrap3-demo,50,158059,70.7515667,30
gwtbootstrap3_gwtbootstrap3-extras,54,29519,34.4044289,40
h2oai_h2o,45,123870,89.56616052,20
h3xstream_http-script-generator,6,3085,38.08641975,30
HadoopGenomics_Hadoop-BAM,4,9671,70.07971014,40
hal_circuit,17,23578,64.59726027,30
hankcs_HanLP,107,57216,87.48623853,20
hansenji_pocketknife,6,3688,51.94366197,30
harishreedharan_usingflumecode,4,5226,106.6530612,40
HdrHistogram_HdrHistogram,3,10448,135.6883117,20
headissue_cache2k,38,36885,74.21529175,30
HearthStats_HearthStats.net-Uploader,16,5567,52.02803738,30
hekonsek_fuse-pocs,24,1608,17.10638298,20
heroku_heroku-maven-plugin,17,8753,81.0462963,30
hevs-isi_gdx2d,19,4326,77.25,20
highsource_jaxb2-basics,52,12017,33.66106443,30
highsource_jsonix-schema-compiler,24,6268,48.96875,30
hmsonline_storm-cassandra-cql,6,1162,29.05,30
holgerbrandl_r4intellij,44,23437,46.40990099,20
holgerbrandl_themoviedbapi,9,5008,38.82170543,30
HolmesNL_kafka-spout,3,1220,76.25,50
holodeck-b2b_Holodeck-B2B,68,30644,55.81785064,40
HotswapProjects_HotswapAgent,104,81076,97.56438026,20
HPI-Information-Systems_Metanome,35,24040,61.79948586,40
hypereddie_HippyJava,9,1379,55.16,20
hyperic_hq,373,347505,87.93142713,20
ic3fox_jawr,68,33249,97.50439883,10
ic3fox_jawr-main-repo,104,40723,82.7703252,10
icode_ameba,53,24770,76.6873065,20
igniterealtime_jxmpp,14,6034,73.58536585,20
igniterealtime_Openfire,82,261539,250.276555,10
igniterealtime_Spark,131,95317,114.9782871,20
igniterealtime_tinder,7,8492,114.7567568,30
iipc_webarchive-commons,43,34703,72.44885177,20
IKCAP_wings,69,25601,110.3491379,20
iluwatar_java-design-patterns,206,33955,28.34307179,20
imagej_imagej-ops,202,70101,34.94566301,10
imglib_imglib2,56,51339,67.02219321,20
imixs_imixs-workflow,21,26506,125.0283019,30
immutables_immutables,119,433498,96.20461607,20
indexiatech_antiquity,5,4758,91.5,20
inductiveautomation_opc-ua-stack,24,30147,75.55639098,40
infiniteautomation_modbus4j,48,15149,49.34527687,20
internet-research-network_breeze,4,2122,64.3030303,20
irobertson_pojomatic,10,6614,34.81052632,30
j2ro_mod-http-event-bus-bridge,8,2146,74,20
jabrena_livingrobots,31,32679,104.4057508,30
jai-imageio_jai-imageio-jpeg2000,27,39711,202.6071429,40
jaibeermalik_elasticsearch-tutorial,16,2149,76.75,10
jamesagnew_hapi-fhir,228,459054,101.8309672,20
jansorg_BashSupport,82,28769,40.51971831,30
JasonRuckman_sidney,100,52241,54.75995807,20
jbachorik_btrace,34,40105,76.24524715,30
jbake-org_jbake,12,7779,60.30232558,20
jbox2d_jbox2d,19,55117,259.9858491,30
jcabi_jcabi-http,5,6119,68.75280899,30
jcabi_jcabi-immutable,1,1355,90.33333333,60
JCTools_JCTools,34,74489,86.81701632,40
JDatePicker_JDatePicker,5,3563,75.80851064,30
jelkosz_Kanbanik,41,30322,47.08385093,10
jimmoores_quandl4j,11,4581,64.52112676,30
Jimmy-Shi_bean-query,4,1473,37.76923077,40
jindrapetrik_jpexs-decompiler,163,212994,101.3292103,20
jitsi_jicofo,29,23384,103.4690265,20
jitsi_jigasi,13,12520,105.210084,20
jivesoftware_jive-selenium-pages-framework,9,4000,97.56097561,30
jlinn_quartz-redis-jobstore,6,5431,142.9210526,30
jlpoolen_libreveris,52,110932,89.75080906,20
jmeter-maven-plugin_jmeter-maven-plugin,5,3475,112.0967742,30
jmrozanec_cron-utils,22,10567,62.52662722,30
JodaOrg_joda-collect,1,3341,98.26470588,60
jodastephen_property-alliance,3,1898,73,50
joel-costigliola_assertj-swing,46,75311,33.20590829,20
jooby-project_jooby,54,41470,71.74740484,20
jordw_heftydb,17,5215,50.63106796,40
jphp-compiler_jphp,162,90072,73.22926829,20
jqm4gwt_jqm4gwt,35,100956,102.8065173,20
jtrfp_terminal-recall,30,75434,72.53269231,20
jubeio_jube,69,23590,84.85611511,20
junkdog_entity-system-benchmarks,19,20625,38.98865784,40
jurmous_etcd4j,12,4221,57.82191781,10
jvirtanen_nassau,11,3037,39.96052632,40
jvirtanen_parity,17,9446,64.2585034,40
jwtk_jjwt,14,10092,46.08219178,40
kaazing_gateway,269,277520,86.07940447,30
kairosdb_kairosdb,36,37704,60.91114701,20
kairosdb_kairosdb-client,9,4618,43.56603774,30
kantega_pdf-converter,13,9014,36.34677419,40
kennycason_kumo,19,3535,37.60638298,20
kite-sdk_kite,63,92763,89.62608696,30
KittehOrg_KittehIRCClientLib,35,21496,45.35021097,10
Kixeye_chassis,33,9608,58.23030303,20
Kixeye_kixmpp,34,8294,63.3129771,20
KleeGroup_vertigo,350,89390,53.27175209,30
knightliao_disconf,163,17302,50.29651163,10
knightliao_hermes-jsonrpc,25,2376,44.83018868,20
kontalk_tigase-server,73,90109,117.1768531,10
KronicDeth_intellij-elixir,155,55593,47.11271186,10
kuali_kc,839,402505,71.20201663,10
kuenishi_presto-riak,3,2272,56.8,50
Kurento_kurento-java,31,19691,62.31329114,20
kuujo_copycat,135,108087,64.60669456,30
kzwang_elasticsearch-image,4,1384,62.90909091,20
la-team_light-admin,71,9800,27.22222222,30
larsga_Duke,12,16021,60.91634981,30
lejon_T-SNE-Java,5,6759,114.559322,30
lesaint_damapping,21,8761,39.64253394,20
lessthanoptimal_ejml,63,78817,113.0803443,10
levigo_jbig2-imageio,11,9061,74.88429752,30
libgdx_ashley,11,5154,34.82432432,20
libgdx_box2dlights,2,1962,130.8,40
libgdx_gdx-ai,22,12814,62.2038835,50
liftsecurity_burpbuddy,1,1764,47.67567568,60
lightblue-platform_lightblue-core,31,46361,62.48113208,40
lightcouch_LightCouch,1,3595,102.7142857,60
linkedin_Cubert,21,41431,89.87201735,20
linkedin_gobblin,357,203716,55.99670148,10
liveoak-io_liveoak,170,49339,52.65635005,40
locationtech_udig-platform,426,341869,100.6385046,20
loldevs_riotapi,57,12849,33.37402597,20
looly_hutool,149,111612,117.2394958,20
lucaspouzac_contiperf,10,4676,34.38235294,30
LucidWorks_spark-solr,14,4322,78.58181818,30
lumifyio_lumify,164,61345,63.96767466,20
lumifyio_securegraph,37,15591,54.32404181,20
lyogavin_Pistachio,10,20537,138.7635135,20
mahmoudparsian_data-algorithms-book,93,14740,46.64556962,20
MALfunction84_psi-probe,53,28427,65.34942529,30
manuzhang_storm-benchmark,13,3305,30.60185185,30
marcosvidolin_doco,3,1107,44.28,20
marcusklang_wikiforia,9,35286,106.6042296,30
marschall_threeten-jpa,18,5268,46.21052632,40
martinpaljak_apdu4j,5,4243,96.43181818,30
martinpaljak_GlobalPlatform,1,5344,111.3333333,60
martinpaljak_GlobalPlatformPro,1,5344,111.3333333,60
matiwinnetou_spring-soy-view,23,3829,38.67676768,20
mayconbordin_streaminer,33,30142,88.13450292,30
mcupak_beacon-of-beacons,31,4905,27.25,30
mdeverdelhan_ta4j,21,11243,35.46687697,30
mesos_storm,5,3608,83.90697674,30
MesquiteProject_MesquiteCore,912,396028,140.6849023,10
metricminer-msr_metricminer2,13,4398,46.78723404,20
meyerjp3_psychometrics,25,48624,146.4578313,30
michaelklishin_hop,2,4843,91.37735849,40
michaelwittig_java-q,19,6773,46.71034483,40
micromata_javaapiforkml,9,62926,303.9903382,30
Microsoft_AppInsights-Java,80,39405,57.60964912,20
MightyPirates_OpenComputers,43,15746,33.01048218,30
migzai_irc-api,16,7274,38.28421053,30
mikvor_money-conversion,2,1626,108.4,30
mimno_Mallet,41,71048,96.79564033,20
MinecraftForge_FernFlower,33,50044,121.1719128,20
mklemm_jaxb2-rich-contract-plugin,7,6548,54.56666667,30
mohitsoni_marathon-client,3,1270,36.28571429,20
mongobee_mongobee,6,1385,60.2173913,30
mono_sharpen,7,9654,59.96273292,40
mooso_azure-tables-hadoop,5,1521,42.25,30
mpetazzoni_ttorrent,18,13421,61.84792627,40
mrniko_redisson,58,132559,91.29407713,20
mscharhag_oleaster,7,2875,51.33928571,40
mstahv_maddon,32,20754,51.49875931,20
mucommander_mucommander,145,112707,68.01870851,20
mulesoft-labs_rhinodo,14,2423,34.12676056,20
mulesoft_jaxrs-to-raml,74,15136,28.72106262,30
mulesoft_raml-for-jax-rs,74,15669,29.56415094,30
mulesoft_raml-jaxrs-codegen,5,1538,90.47058824,20
my2iu_Jinq,15,16364,62.93846154,40
nathantippy_jFASTStages,63,97298,129.2138114,20
nativelibs4java_BridJ,18,40484,92.21867882,10
naver_ngrinder,89,25974,59.03181818,20
naver_volley-extensions,24,8655,46.53225806,20
needle4j_needle4j,22,5482,29.79347826,20
neo4j-contrib_cypher-dsl,8,4835,38.07086614,40
neo4j-contrib_graph-collections,16,12470,61.12745098,30
neo4j_neo4j-ogm,198,49767,45.20163488,10
NetApp_NetApp-Hadoop-NFS-Connector,10,4285,80.8490566,20
netceteragroup_valdr-bean-validation,16,1612,36.63636364,10
Netflix_spectator,29,35476,72.25254582,10
Netflix_Surus,2,1072,97.45454545,30
netplex_json-smart-v2,11,7801,68.42982456,30
NFSdb_nfsdb,53,130103,83.02680281,20
nguyenq_tess4j,3,7817,159.5306122,40
nhl_link-rest,71,24892,34.42876902,20
nhnopensource_volley-extensions,24,8655,46.53225806,20
niclashoyer_neo4j-sparql-extension,8,3424,72.85106383,30
nirmal070125_KubernetesAPIJavaClient,7,1672,52.25,30
NirmataOSS_workflow,10,3858,60.28125,30
NLPchina_ansj_seg,34,12817,68.17553191,10
NLPchina_elasticsearch-sql,15,18306,140.8153846,10
NLPchina_nlp-lang,24,9840,82.68907563,30
Nodeclipse_EditBox,4,3824,83.13043478,40
nosceon_titanite,13,6569,32.845,30
novoda_sqlite-analyzer,8,15784,139.6814159,10
numenta_htm.java,14,44247,155.7992958,20
nurkiewicz_java8-workshop,12,2424,26.63736264,30
nutzam_nutzwx,12,5563,58.55789474,20
nutzam_ssdb4j,5,1657,78.9047619,30
oasp_oasp4j,89,16442,38.06018519,30
OAuth-Apis_apis,23,6142,53.40869565,20
ObeoNetwork_UML-Designer,74,34918,128.8487085,20
OfficeDev_ews-java-api,45,67385,117.600349,10
OHDSI_WebAPI,122,40588,45.75873732,10
open-eid_digidoc4j,35,42463,108.0483461,20
OpenClinica_OpenClinica,136,191202,114.1504478,30
openhab_jmdns,9,13075,139.0957447,30
openhab_openhab2,1087,399254,69.52011144,20
OpenHFT_Chronicle-Bytes,8,15779,77.34803922,20
OpenHFT_Chronicle-Core,21,6647,33.91326531,30
OpenHFT_Chronicle-Map,45,46945,80.66151203,20
OpenHFT_Chronicle-Queue,29,24922,68.46703297,10
OpenHFT_Chronicle-Wire,15,32899,68.25518672,20
OPENNETWORKINGLAB_OpenVirteX,28,17620,75.2991453,20
OpenNMS_newts,15,10571,50.82211538,40
openpreserve_pagelyzer,28,10634,94.10619469,30
openscore_score-actions,164,53748,53.37437934,20
OpenSOC_opensoc-streaming,47,15312,76.56,20
OpenTOSCA_container,270,225049,128.672956,10
opentripplanner_OpenTripPlanner,117,120388,95.62192216,20
operasoftware_operaprestodriver,28,317947,361.7144482,20
optimaize_language-detector,9,3782,54.8115942,40
orangesignal_orangesignal-csv,11,43481,126.7667638,30
OrbitzWorldwide_consul-client,22,42860,116.4673913,30
orientechnologies_orientdb-etl,7,3372,51.09090909,30
orientechnologies_orientdb-lucene,12,2743,70.33333333,20
OryxProject_oryx,56,16401,41.20854271,40
oswetto_Loboevolution,120,230129,108.7052433,30
otros-systems_otroslogviewer,110,42416,51.91676867,10
otto-de_edison-microservice,58,12521,37.94242424,20
outbrain_Aletheia,29,8297,47.68390805,20
oxo42_stateless4j,7,2749,57.27083333,30
pac4j_pac4j,170,38966,50.73697917,40
pac4j_play-pac4j,5,1178,45.30769231,30
pac4j_vertx-pac4j,12,1860,37.95918367,20
PasaLab_Tachyon-Perf,10,2556,59.44186047,20
pastekit_twist,11,5386,61.20454545,30
paukiatwee_budgetapp,21,2979,38.68831169,20
pavel4n_wowdoge.org,31,104773,217.8232848,30
payara_Payara,1100,926609,94.72592517,30
PayPal_SeLion,59,35766,61.34819897,20
pcingola_SnpEff,52,54863,121.6474501,20
peholmst_vaadin4spring,5,1546,36.80952381,20
PhantomYdn_wicket-orientdb,18,8495,53.76582278,20
phasenraum2010_javaee7-petclinic,6,2417,44.75925926,50
phax_ph-css,20,40306,159.9444444,20
PhonyTive_astivetoolkit,23,11391,75.43708609,30
pietermartin_sqlg,19,43943,179.3591837,20
pilehvar_ADW,6,2462,87.92857143,30
Plaid_plaid-java,8,6449,29.85648148,40
plantuml_plantuml,178,225846,78.14740484,20
pmd_pmd-eclipse-plugin,49,35987,100.5223464,10
poetix_octarine,22,4889,31.54193548,30
poetix_protonpack,7,3068,47.9375,30
policeman-tools_forbidden-apis,6,3351,81.73170732,30
polyglot-compiler_polyglot,79,166910,117.9575972,20
Pragmatists_junitparams,14,3351,27.02419355,30
primecloud-controller-org_primecloud-controller,131,184275,107.2613504,20
project-ncl_pnc,171,51199,41.76101142,30
prometheus_jmx_exporter,1,1505,43,60
protostuff_protostuff,18,93313,94.25555556,20
pschirmacher_webster,10,1611,26.40983607,30
psidnell_ofexport2,9,5374,75.69014085,20
ptgoetz_storm-hdfs,10,1718,38.17777778,30
pulsarIO_realtime-analytics,37,11175,82.77777778,10
pumadong_cl-privilege,9,3175,66.14583333,30
pusher_pusher-http-java,4,1206,67,40
pusher_pusher-websocket-java,8,3466,64.18518519,30
querydsl_codegen,4,3990,57,40
querydsl_querydsl,109,115624,33.92723005,20
rabbitmq_hop,2,4843,91.37735849,40
radcortez_wow-auctions,15,1726,35.2244898,30
radkovo_jStyleParser,6,32493,88.77868852,50
rancherio_cattle,456,128391,72.7015855,40
raphaeljolivet_java2typescript,16,2479,23.60952381,30
raydac_java-binary-block-parser,18,31103,86.87988827,30
Rayman2200_PDFA3,4,9171,65.50714286,40
reactive-streams_reactive-streams-jvm,5,11125,91.94214876,50
ReactiveX_RxJava,38,296717,108.6079795,20
readydev_retrogram,3,1073,16.25757576,50
real-logic_Aeron,27,132196,170.1364221,30
real-logic_Agrona,14,27362,92.43918919,20
real-logic_simple-binary-encoding,21,55045,223.7601626,10
recruit-tech_redpen,19,23905,88.866171,30
red5_red5-websocket,6,3643,110.3939394,10
redraiment_jactiverecord,6,2910,97,10
redwarp_9-Patch-Resizer,6,1769,61,30
reinert_requestor,23,19161,40.59533898,30
reines_dropwizard-debpkg-maven-plugin,20,4795,51.55913978,20
release-engineering_pom-manipulation-ext,23,13374,75.13483146,20
remibantos_jeeshop,17,5690,56.9,30
renekrie_querqy,20,18820,59.74603175,30
RentTheRunway2_alchemy,36,7827,42.7704918,20
RestExpress_RestExpress-Examples,13,1038,19.58490566,20
resty-gwt_resty-gwt,24,17101,34.202,30
revapi_revapi,38,24074,33.02331962,20
reveal-technologies_sitewhere,348,87354,71.42600164,20
rhlabs_louie,39,17951,67.99621212,10
RichardWarburton_java-8-lambdas-exercises,33,3505,15.57777778,40
