Repository,Namespace,Cyclic Dependency,Unstable Dependency,Ambiguous Interface,God Component,Feature Concentration,Scattered Functionality,Dense Structure,Total Architecture Smells
7Pass_7Pass-Remake,SevenPass.IO.Crypto,0.0,0.0,0,0,1.0,0,0,1.0
7Pass_7Pass-Remake,KeePassLib.Cryptography.Cipher,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.IO,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.IO.Models,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.Entry.Views,0.0,0.0,0,0,1.0,0,0,1.0
7Pass_7Pass-Remake,SevenPass.Views,0.0,1.0,0,0,2.0,0,0,3.0
7Pass_7Pass-Remake,SevenPass,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.Entry.ViewModels,6.0,0.0,0,0,1.0,0,0,7.0
7Pass_7Pass-Remake,SevenPass.Messages,5.0,1.0,0,0,2.0,0,0,8.0
7Pass_7Pass-Remake,SevenPass.Models,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.Services,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.Services.Cache,0.0,0.0,0,0,0.0,0,0,0.0
7Pass_7Pass-Remake,SevenPass.Services.Databases,3.0,0.0,0,0,0.0,0,0,3.0
7Pass_7Pass-Remake,SevenPass.Services.Picker,5.0,1.0,0,0,0.0,0,0,6.0
7Pass_7Pass-Remake,SevenPass.ViewModels,6.0,1.0,0,0,2.0,0,0,9.0
Aaronontheweb_helios,Helios.Benchmark.DedicatedThreadFiber,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.Benchmark.TCPThroughput,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.RawSocket,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.RawSocket.Properties,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.RawUdpSocket,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.RawUdpSocket.Properties,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.Buffers,1.0,1.0,0,0.0,0.0,6.0,0,8.0
Aaronontheweb_helios,Helios.Channels,4.0,1.0,0,1.0,0.0,5.0,0,11.0
Aaronontheweb_helios,Helios.Channels.Bootstrap,0.0,0.0,0,0.0,0.0,1.0,0,1.0
Aaronontheweb_helios,Helios.Channels.Embedded,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aaronontheweb_helios,Helios.Channels.Local,0.0,0.0,0,0.0,0.0,1.0,0,1.0
Aaronontheweb_helios,Helios.Channels.Sockets,2.0,0.0,0,0.0,0.0,2.0,0,4.0
Aaronontheweb_helios,Helios.Codecs,0.0,0.0,0,0.0,1.0,1.0,0,2.0
Aaronontheweb_helios,Helios.Concurrency,10.0,1.0,0,1.0,0.0,3.0,0,15.0
Aaronontheweb_helios,Helios.Concurrency.Impl,5.0,0.0,0,0.0,0.0,0.0,0,5.0
Aaronontheweb_helios,Helios.Logging,1.0,1.0,0,0.0,0.0,0.0,0,2.0
Aaronontheweb_helios,Helios.Util,2.0,0.0,0,0.0,1.0,0.0,0,3.0
Aaronontheweb_helios,Helios.Util.Collections,0.0,0.0,0,0.0,1.0,0.0,0,1.0
Aaronontheweb_helios,Helios.Util.Concurrency,3.0,1.0,0,0.0,0.0,0.0,0,4.0
Aaronontheweb_helios,Helios.Net,12.0,1.0,0,0.0,1.0,0.0,0,14.0
Aaronontheweb_helios,Helios.Topology,5.0,1.0,0,0.0,0.0,1.0,0,7.0
