Project,Pareto_category
7Pass_7Pass-Remake,20
Aaronontheweb_helios,20
Aaronontheweb_qdfeed,30
Abc-Arbitrage_Zebus,10
AdamsLair_treeviewadv,30
AdaptiveConsulting_ReactGraph,20
AndresTraks_BulletSharp,10
ArcticEcho_Phamhilator,10
ArxOne_MrAdvice,20
AvilanceLtd_StarryboundServer,40
Azure-Readiness_DevCamp,30
AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet,20
AzureAD_azure-activedirectory-library-for-dotnet,30
Azure_azure-mobile-services,20
Azure_azure-powershell,20
Azure_azure-sdk-for-media-services,20
Azure_azure-sdk-for-media-services-extensions,50
Azure_azure-sdk-for-net,20
BenFradet_RiotSharp,20
BruTile_BruTile,20
ButchersBoy_Dragablz,30
ByteBlast_Validator,30
CatenaLogic_GitLink,20
CenturyLinkCloud_ElasticLINQ,20
Cimpress-MCP_TimberWinR,20
CityofSantaMonica_SODA.NET,30
ClothesHorse_microscope,20
Code-Sharp_WampSharp,10
CodeConnect_SourceBrowser,30
CosmosOS_Cosmos,10
Criteo_memcache-driver,20
DanTup_DartVS,30
DarkAutumn_WinterBot,20
DaveSenn_PortableExtensions,50
DotNetAnalyzers_StyleCopAnalyzers,40
DropNet_DropNet,30
DropNet_DropNetRT,40
EHVAG_demoinfo,20
EamonNerbonne_ExpressionToCode,20
Esri_joint-military-symbology-xml,30
Fortis-Collection_fortis,10
FransBouma_LinqToSQL2,20
Geaz_sharpDox,20
GeoJSON-Net_GeoJSON.Net,30
GeorgeHahn_SOVND,10
Geta_EPi.Extensions,10
HangfireIO_Hangfire,20
HenkMollema_Dapper-FluentMap,10
Hihaj_SlackCommander,20
HubertJ_QuandlCS,10
IdentityModel_AuthorizationServer,20
IdentityModel_Thinktecture.IdentityModel.45,10
IdentityServer_IdentityServer3,20
IdentityServer_IdentityServer3.AccessTokenValidation,30
Impyy_SharpTox,40
InvisibleShield_FFXIV-Zodiac-Glass,30
IoFx_IoFx,30
JonPSmith_GenericServices,20
Jossef_edsdk-wrapper,30
Jroland_kafka-net,30
JudahGabriel_RavenDB.ModernMvcStarterKit,40
JustGiving_JustGiving.EventStore.Http,10
KSP-KOS_KOS,20
KSP-RO_RealismOverhaul,20
Keboo_PebbleSharp,10
KvanTTT_MathExpressions.NET,30
KyleGobel_Hipchat-CS,30
LHCGreg_animerecs,20
LightBlueProject_LightBlue,20
Litipk_ColorSharp,20
LogFlow_LogFlow,20
Lunch-box_SimpleOrderRouting,20
MSOpenTech_azure-activedirectory-jwt-token-handler-for-dotnet,40
MSOpenTech_azure-activedirectory-library-for-dotnet,30
MakoLab_RomanticWeb,10
MartinChavez_School-of-CSharp,20
MatterHackers_MatterControl,20
MatterHackers_MatterSlice,40
MatterHackers_agg-sharp,20
Merchello_Merchello,10
Microsoft_Win2D,20
Mimetis_SyncWinRT,20
Myrcon_Procon-2-Potato,10
NServiceKit_NServiceKit.OrmLite,20
NServiceKit_NServiceKit.Redis,20
NakedObjectsGroup_NakedObjectsFramework,20
NetTopologySuite_NetTopologySuite,10
NetTopologySuite_ProjNet4GeoAPI,30
NiclasOlofsson_MiNET,20
NicoVermeir_XamlStyler,20
NicolasDorier_NBitcoin,20
NonFactors_MVC.Grid,60
NuGet_NuGet.PackageManagement,30
NuGet_NuGet.VisualStudioExtension,30
NuGet_json-ld.net,40
OctopusDeploy_Octodiff,30
OfficeDev_PnP,10
OmniSharp_OmniSharpServer,10
OmniSharp_omnisharp-server,10
OpenCoverUI_OpenCover.UI,20
OpenCover_opencover,10
OpenSharp_UnitWrappers,20
OrchardCMS_Brochard,10
OsmSharp_GTFS,30
OsmSharp_OsmSharp,20
POPWorldMedia_POPForums,10
ParticularLabs_GitVersion,20
Particular_GitVersion,20
Particular_docs.particular.net,20
PayPal_PayPal-NET-SDK,30
PistonDevelopers_VisualRust,20
PolarbearDK_Miracle.FileZilla.Api,60
PolarisTeam_PolarisServer,30
PrintsCharming_ObjectHydrator,30
ProtoTest_ProtoTest.Golem,20
Quobject_EngineIoClientDotNet,40
RIT-MAGIC_JustPressPlay,30
RadicalFx_radical,10
Ravadre_Stacks,20
RazorGenerator_RazorGenerator,10
RickStrahl_WestWindWebSurge,30
RobertSmith_Orchestrate.NET,40
Rohansi_Mond,20
Runt-Editor_Runt,20
SamHurne_gw2pao,20
SergeyTeplyakov_ReSharperContractExtensions,30
ServiceStackV3_ServiceStack.Contrib,20
ServiceStack_ServiceStackVS,20
Shazwazza_Smidge,20
SimonCropp_Chevron,20
Sitefinity_feather,20
SnowflakePowered_snowflake,10
Sonarr_Sonarr,20
SparkDevNetwork_Rock,20
SphtKr_JSONAPI.NET,10
StefanOssendorf_SecurityHeadersMiddleware,30
StephenCleary_Comparers,20
Swarmops_Swarmops,10
Taggersoft_SharpMTProto,30
Taggersoft_SharpTelegram,30
TheBerkin_Rant,20
TimSchlechter_Swagger.Codegen.Net,20
Tulpep_Active-Directory-Object-Picker,30
TwoMaKing_EApp,20
Tynamix_ObjectFiller.NET,30
UweKeim_ZetaLongPaths,30
VocaDB_vocadb,10
Warewolf-ESB_Warewolf-ESB,10
XForms_Xamarin-Forms-Labs,20
XLabs_Xamarin-Forms-Labs,20
XeeX_LeagueOfLegendsAPI,20
YoloDev_elephanet,30
Yonom_CupCake,20
ZeroK-RTS_Zero-K-Infrastructure,20
adammhaile_Elpis,20
adamyeager_PushbulletSharp,30
aegif_CmisSync,30
affandar_durabletask,20
akkadotnet_akka.net,10
andyfmiller_LtiLibrary,20
appium_appium-dotnet-driver,20
arenanet_socknet,30
ashmind_TryRoslyn,20
aspnet_DataCommon.SQLite,20
aspnet_DataProtection,10
aspnet_Diagnostics,20
aspnet_Hosting,30
aspnet_HttpAbstractions,20
aspnet_Routing,20
aspnet_Security,30
aspnet_StaticFiles,20
bchavez_Coinbase,20
bchavez_SharpFlame,10
belczyk_elasticops,10
bordoley_SQLitePCL.pretty,40
brandondahler_Data.HashFunction,10
breeze_breeze.sharp,30
brucedog_u2flib,20
bugsnag_bugsnag-dotnet,10
buybackoff_Ractor.CLR,20
cake-build_cake,20
castleproject_castlezmq,10
ceee_ReadSharp,40
chocolatey_ChocolateyGUI,10
cityindex-attic_CIAPI.CS,20
cityindex_LogSearchShipper,20
cliftonm_HOPE,10
cmatskas_Azure.Storage,20
code-cracker_code-cracker,30
codecadwallader_codemaid,10
coding-chick_BeatsMusicCSharp,20
conceptdev_xamarin-forms-samples,20
controlflow_resharper-postfix,30
crossvertise_ActionMailerNext,30
d60_Cirqus,10
danbarua_NEventSocket,40
danbarua_Nancy.Hal,30
danielmoore_WpfIgniter,30
developerforce_Force.com-Toolkit-for-NET,20
djungelorm_krpc,10
dnGrep_dnGrep,20
dotliquid_dotliquid,20
dotnet_corefxlab,10
dotnet_orleans,10
dubeaud_bugnet,30
duplicati_duplicati,20
dvsekhvalnov_jose-jwt,30
dzharii_swd-recorder,20
elastic_elasticsearch-net,10
elasticsearch_elasticsearch-net,10
elbandit_PPPDDD,10
eswann_Mapster,30
ethomson_infinity.net,30
etishor_Metrics.NET,10
exactonline_ClientSDK,30
exceptionless_Exceptionless,20
exceptionless_Foundatio,10
exxeleron_qSharp,60
ezet_evelib,20
flickr-downloadr_flickr-downloadr-gtk,30
flumbee_mobiledb,20
frabert_NetLua,20
frankhommers_Hangfire.PostgreSql,40
garuma_bikr,60
ghuntley_Conditions,60
googleads_googleads-dotnet-lib,20
grokys_Perspex,10
helios-io_helios,20
helix-toolkit_helix-toolkit,10
hudl_HudlFfmpeg,10
hudl_Mjolnir,40
i4004_Simplify,20
imazen_resizer,10
inflatablefriends_lastfm,30
int6_CoiniumServ,10
int6_uhttpsharp,20
j6mes_httplib,40
jacobdufault_forge,20
jacobdufault_fullserializer,40
jamesmontemagno_MyExpenses,10
jefking_King.Service,20
jeske_SimpleScene,20
jestonedev_ActivityManager,10
jni4net_jni4net,20
joancaron_OpenWeatherMap-Api-Net,60
joelweiss_ChangeTracking,30
johnkors_IdentityServer3.Contrib.Localization,30
jonsequitur_Its.Cqrs,20
jstedfast_MailKit,30
justeat_JustSaying,20
justeat_ZendeskApiClient,20
kbilsted_StatePrinter,30
kentcb_PCLMock,30
kria_Tfs2Slack,20
kria_TfsNotificationRelay,20
ligershark_AzureJobs,10
logsearch_LogSearchShipper,20
louthy_language-ext,10
madelson_MedallionShell,40
madskristensen_JSON-Intellisense,10
maingi4_ProtoBuf.Wcf,30
mandest_Nap,20
manicdigger_manicdigger,30
marco-calautti_Rainbow,30
martincostello_sqllocaldb,20
mathnet_mathnet-filtering,30
maxtoroq_MvcCodeRouting,30
meshmash_Plankton,20
mgravell_protobuf-net,20
michaellperry_Assisticant,30
mike-ward_Markdown-Edit,30
mike-ward_tweetz-desktop,20
mmanela_diffplex,20
mmbot_mmbot,20
mono_CocosSharp,20
mono_roslyn,10
moritzuehling_DemoInfo-public,20
mrsharpoblunto_BobbyTables,60
mspnp_semantic-logging,20
nHydrate_nHydrate,10
nachmore_unBand,20
neolithos_neolua,40
nerdfury_Slack.Webhooks,20
neuecc_LINQ-to-GameObject-for-Unity,20
neuecc_UniRx,20
nhibernate_NHibernate-Search,20
nhibernate_NHibernate.Spatial,30
nodatime_nodatime,20
ntent-ad_kafka4net,30
objorke_PropertyTools,40
objorke_QuantityTypes,30
oenning_SharpSapRfc,20
onovotny_BouncyCastle-PCL,20
openssl-net_openssl-net,30
owin_museum-piece-gate,20
oxyplot_oxyplot,20
philiplaureano_Deflector.NET,20
phogue_Potato,10
playgameservices_play-games-plugin-for-unity,20
praeclarum_Bind,20
pschichtel_LyricsReloaded,30
psmacchia_NDepend.Path,40
pvginkel_PdfiumViewer,10
qianlifeng_Wox,20
re-motion_Relinq,20
remyvd_NodaMoney,20
rexm_Handlebars.Net,20
richardszalay_mockhttp,50
riganti_redwood,10
riipah_vocadb,10
rnicoll_ncrypto-currency-exchange,30
rogeralsing_Pigeon,10
rogeralsing_akka.net,10
ronnycsharp_WPFLight,10
rowanmiller_Demo-EF7,10
rprouse_GitHubExtension,30
rscustom_rocksmith-custom-song-toolkit,10
runceel_ReactiveProperty,30
