Project,Pareto_category
scommisso_vimeo-dot-net,40
shadowsocks_shadowsocks-csharp,20
smolyakoff_essential-templating,20
somdoron_AsyncIO,20
somedave_FluentBootstrap,20
splunk_splunk-sdk-csharp-pcl,20
sschmid_Entitas-CSharp,30
tavis-software_Tavis.PrivateCache,60
telerik_JustMockLite,10
terrajobst_NQuery,30
terrajobst_nuproj,20
tfsaggregator_tfsaggregator,20
thinktecture_Thinktecture.IdentityServer.v3.EntityFramework,20
tmenier_Flurl,30
tonyqus_toxy,30
tonysneed_trackable-entities,20
tumtumtum_Shaolinq,20
tunnelvisionlabs_antlr4cs,30
uComponents_nuPickers,10
uComponents_uComponents,10
uhaciogullari_SimpleMvcSitemap,20
urasandesu_Prig,30
vknet_vk,10
voat_voat,10
webformsmvp_webformsmvp,20
welegan_RedisSessionProvider,20
weltkante_managed-lzma,30
wildbunny_metaexchange,30
wnmp_wnmp,30
worldexplorer_SquareOne,20
wudixiaop_ShaderlabVS,20
xamarin_SignaturePad,50
xamarin_xamarin-forms-samples,20
xanathar_moonsharp,20
xenolightning_AudioSwitcher,30
xplicit_HyperFastCgi,40
xunit_resharper-xunit,20
xunit_samples,20
xunit_samples.xunit,20
xunit_xamarin.xunit,20
yevhen_Orleankka,20
yysun_git-tools,30
ziyasal_InfluxDB.Net,30
