Index,Repository,Namespace list,Length,Counted
11,Aaronontheweb_helios,'Helios.Net' 'Helios.Concurrency' 'Helios.Ops',3,N
12,Aaronontheweb_helios,'Helios.Net' 'Helios.Concurrency' 'Helios.Concurrency.Impl' 'Helios.Ops',4,N
13,Aaronontheweb_helios,'Helios.Topology' 'Helios.Net' 'Helios.Net.Builders',3,N
14,Aaronontheweb_helios,'Helios.Tracing' 'Helios.Tracing.Impl',2,N
15,Aaronontheweb_helios,'Helios.Serialization' 'Helios.Net',2,N
16,Aaronontheweb_helios,'Helios.Serialization' 'Helios.Net' 'Helios.Net.Builders',3,N
17,Aaronontheweb_helios,'Helios.Exceptions' 'Helios.Topology' 'Helios.Net' 'Helios.Net.Builders',4,N
18,Aaronontheweb_helios,'Helios.Exceptions' 'Helios.Topology' 'Helios.Net' 'Helios.Net.Builders' 'Helios.Net.Connections',5,N
19,Aaronontheweb_helios,'Helios.Net.Connections' 'Helios.Net' 'Helios.Net.Builders',3,N
20,Aaronontheweb_helios,'Helios.Net.Connections' 'Helios.Topology' 'Helios.Net' 'Helios.Net.Builders',4,N
21,Aaronontheweb_helios,'Helios.Net.Builders' 'Helios.Net',2,N
22,Aaronontheweb_helios,'Helios.Ops' 'Helios.Net',2,N
23,Aaronontheweb_helios,'Helios.Ops.Executors' 'Helios.Ops',2,N
24,Aaronontheweb_helios,'Helios.Ops.Executors' 'Helios.Concurrency' 'Helios.Concurrency.Impl',3,N
25,Aaronontheweb_helios,'Helios.Ops.Executors' 'Helios.Concurrency' 'Helios.Concurrency.Impl' 'Helios.Ops',4,N
26,Aaronontheweb_helios,'Helios.Reactor' 'Helios.Reactor.Response',2,N
1,Aaronontheweb_qdfeed,'QDFeedParser' 'QDFeedParser.Xml',2,N
1,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence.CQL.Data' 'Abc.Zebus.Persistence.CQL.Storage',2,N
2,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence' 'Abc.Zebus.Persistence.Matching',2,N
3,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence' 'Abc.Zebus.Persistence.Storage' 'Abc.Zebus.Persistence.Matching',3,N
4,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence.Storage' 'Abc.Zebus.Persistence.Matching',2,N
5,Abc-Arbitrage_Zebus,'Abc.Zebus' 'Abc.Zebus.Dispatch',2,N
6,Abc-Arbitrage_Zebus,'Abc.Zebus' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Dispatch.Pipes',3,N
7,Abc-Arbitrage_Zebus,'Abc.Zebus.Core' 'Abc.Zebus.Dispatch',2,N
8,Abc-Arbitrage_Zebus,'Abc.Zebus.Core' 'Abc.Zebus' 'Abc.Zebus.Dispatch',3,N
9,Abc-Arbitrage_Zebus,'Abc.Zebus.Core' 'Abc.Zebus' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Dispatch.Pipes',4,N
10,Abc-Arbitrage_Zebus,'Abc.Zebus.Directory' 'Abc.Zebus',2,N
11,Abc-Arbitrage_Zebus,'Abc.Zebus.Directory' 'Abc.Zebus' 'Abc.Zebus.Transport',3,N
12,Abc-Arbitrage_Zebus,'Abc.Zebus.Dispatch' 'Abc.Zebus' 'Abc.Zebus.Lotus',3,N
13,Abc-Arbitrage_Zebus,'Abc.Zebus.Dispatch.Pipes' 'Abc.Zebus.Dispatch',2,N
14,Abc-Arbitrage_Zebus,'Abc.Zebus.Dispatch.Pipes' 'Abc.Zebus' 'Abc.Zebus.Lotus' 'Abc.Zebus.Dispatch',4,N
15,Abc-Arbitrage_Zebus,'Abc.Zebus.Initialization' 'Abc.Zebus.Core',2,N
16,Abc-Arbitrage_Zebus,'Abc.Zebus.Initialization' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Core',3,N
17,Abc-Arbitrage_Zebus,'Abc.Zebus.Initialization' 'Abc.Zebus' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Core',4,N
18,Abc-Arbitrage_Zebus,'Abc.Zebus.Initialization' 'Abc.Zebus' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Dispatch.Pipes' 'Abc.Zebus.Core',5,N
19,Abc-Arbitrage_Zebus,'Abc.Zebus.Lotus' 'Abc.Zebus',2,N
20,Abc-Arbitrage_Zebus,'Abc.Zebus.Lotus' 'Abc.Zebus.Transport' 'Abc.Zebus',3,N
21,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence' 'Abc.Zebus.Core',2,N
22,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence' 'Abc.Zebus' 'Abc.Zebus.Serialization',3,N
23,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence' 'Abc.Zebus.Transport' 'Abc.Zebus' 'Abc.Zebus.Serialization',4,N
24,Abc-Arbitrage_Zebus,'Abc.Zebus.Persistence' 'Abc.Zebus.Transport' 'Abc.Zebus' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Serialization',5,N
25,Abc-Arbitrage_Zebus,'Abc.Zebus.Scan' 'Abc.Zebus.Dispatch',2,N
26,Abc-Arbitrage_Zebus,'Abc.Zebus.Scan' 'Abc.Zebus' 'Abc.Zebus.Dispatch',3,N
27,Abc-Arbitrage_Zebus,'Abc.Zebus.Scan' 'Abc.Zebus' 'Abc.Zebus.Dispatch' 'Abc.Zebus.Core',4,N
28,Abc-Arbitrage_Zebus,'Abc.Zebus.Serialization' 'Abc.Zebus',2,N
29,Abc-Arbitrage_Zebus,'Abc.Zebus.Serialization' 'Abc.Zebus' 'Abc.Zebus.Dispatch',3,N
30,Abc-Arbitrage_Zebus,'Abc.Zebus.Transport' 'Abc.Zebus',2,N
31,Abc-Arbitrage_Zebus,'Abc.Zebus.Transport' 'Abc.Zebus' 'Abc.Zebus.Dispatch',3,N
1,adammhaile_Elpis,'Lpfm.LastFmScrobbler.Api' 'Lpfm.LastFmScrobbler',2,N
1,AdamsLair_treeviewadv,'Aga.Controls.Tree' 'Aga.Controls.Tree.NodeControls',2,N
1,adamyeager_PushbulletSharp,'PushbulletSharp' 'PushbulletSharp.Models.Requests',2,N
2,adamyeager_PushbulletSharp,'PushbulletSharp.Models.Requests.Ephemerals' 'PushbulletSharp.Models',2,N
3,adamyeager_PushbulletSharp,'PushbulletSharp.Models.Responses.Ephemerals' 'PushbulletSharp.Models',2,N
4,adamyeager_PushbulletSharp,'PushbulletSharp.Models.Responses.WebSocket' 'PushbulletSharp.Models',2,N
1,AdaptiveConsulting_ReactGraph,'ReactGraph' 'ReactGraph.NodeInfo',2,N
2,AdaptiveConsulting_ReactGraph,'ReactGraph' 'ReactGraph.Instrumentation' 'ReactGraph.NodeInfo',3,N
3,AdaptiveConsulting_ReactGraph,'ReactGraph.Construction' 'ReactGraph',2,N
1,aegif_CmisSync,'CmisSync.Lib.Cmis' 'CmisSync.Lib',2,N
2,aegif_CmisSync,'CmisSync.Lib.Cmis' 'CmisSync.Lib' 'CmisSync.Lib.Database',3,N
3,aegif_CmisSync,'CmisSync.Lib.Database' 'CmisSync.Lib',2,N
4,aegif_CmisSync,'CmisSync' 'CmisSync.CmisTree',2,N
5,aegif_CmisSync,'CmisSync' 'CmisTree' 'CmisSync.CmisTree',3,N
1,affandar_durabletask,'DurableTask.AzureServiceFabric' 'DurableTask.AzureServiceFabric.TaskHelpers',2,N
2,affandar_durabletask,'DurableTask.AzureServiceFabric' 'DurableTask.AzureServiceFabric.Stores' 'DurableTask.AzureServiceFabric.TaskHelpers',3,N
3,affandar_durabletask,'DurableTask.AzureServiceFabric.Stores' 'DurableTask.AzureServiceFabric',2,N
4,affandar_durabletask,'DurableTask.AzureStorage' 'DurableTask.AzureStorage.Messaging',2,N
5,affandar_durabletask,'DurableTask.AzureStorage' 'DurableTask.AzureStorage.Messaging' 'DurableTask.AzureStorage.Monitoring',3,N
6,affandar_durabletask,'DurableTask.AzureStorage.Monitoring' 'DurableTask.AzureStorage',2,N
7,affandar_durabletask,'DurableTask.AzureStorage.Partitioning' 'DurableTask.AzureStorage',2,N
8,affandar_durabletask,'DurableTask.AzureStorage.Partitioning' 'DurableTask.AzureStorage.Monitoring' 'DurableTask.AzureStorage',3,N
9,affandar_durabletask,'DurableTask.AzureStorage.Tracking' 'DurableTask.AzureStorage',2,N
10,affandar_durabletask,'DurableTask.AzureStorage.Tracking' 'DurableTask.AzureStorage.Monitoring' 'DurableTask.AzureStorage',3,N
11,affandar_durabletask,'DurableTask.Core.Command' 'DurableTask.Core',2,N
12,affandar_durabletask,'DurableTask.Core.Command' 'DurableTask.Core.History' 'DurableTask.Core',3,N
13,affandar_durabletask,'DurableTask.Core.Common' 'DurableTask.Core',2,N
14,affandar_durabletask,'DurableTask.Core.Common' 'DurableTask.Core' 'DurableTask.Core.Tracing',3,N
15,affandar_durabletask,'DurableTask.Core' 'DurableTask.Core.Tracking',2,N
16,affandar_durabletask,'DurableTask.Core' 'DurableTask.Core.Tracking' 'DurableTask.Core.History',3,N
17,affandar_durabletask,'DurableTask.Core' 'DurableTask.Core.Command' 'DurableTask.Core.Serializing' 'DurableTask.Core.Common',4,N
18,affandar_durabletask,'DurableTask.Core.History' 'DurableTask.Core',2,N
19,affandar_durabletask,'DurableTask.Core.Serializing' 'DurableTask.Core.Common',2,N
20,affandar_durabletask,'DurableTask.Core.Serializing' 'DurableTask.Core.Common' 'DurableTask.Core',3,N
21,affandar_durabletask,'DurableTask.Core.Settings' 'DurableTask.Core.Common' 'DurableTask.Core.Serializing',3,N
22,affandar_durabletask,'DurableTask.Core.Settings' 'DurableTask.Core.Common' 'DurableTask.Core' 'DurableTask.Core.Serializing',4,N
23,affandar_durabletask,'DurableTask.Core.Settings' 'DurableTask.Core.Common' 'DurableTask.Core' 'DurableTask.Core.Command' 'DurableTask.Core.Serializing',5,N
24,affandar_durabletask,'DurableTask.Core.Tracing' 'DurableTask.Core.Common',2,N
25,affandar_durabletask,'DurableTask.Core.Tracking' 'DurableTask.Core' 'DurableTask.Core.Serializing',3,N
26,affandar_durabletask,'DurableTask.ServiceBus.Common.Abstraction' 'DurableTask.ServiceBus',2,N
27,affandar_durabletask,'DurableTask.ServiceBus.Common.Abstraction' 'DurableTask.ServiceBus.Settings' 'DurableTask.ServiceBus',3,N
28,affandar_durabletask,'DurableTask.ServiceBus.Settings' 'DurableTask.ServiceBus',2,N
29,affandar_durabletask,'DurableTask.ServiceBus.Tracking' 'DurableTask.ServiceBus',2,N
1,akkadotnet_akka.net,'Akka.Actor' 'Akka.Util',2,N
2,akkadotnet_akka.net,'Akka.Actor' 'Akka.Util' 'Akka.IO',3,N
3,akkadotnet_akka.net,'Akka.Actor' 'Akka.Util' 'Akka.IO' 'Akka.Routing',4,N
4,akkadotnet_akka.net,'Akka.Actor' 'Akka.Util' 'Akka.IO' 'Akka.Routing' 'Akka.Configuration',5,N
5,akkadotnet_akka.net,'Akka.Actor.Internal' 'Akka.Actor',2,N
6,akkadotnet_akka.net,'Akka.Actor.Internal' 'Akka.Actor' 'Akka.Event',3,N
7,akkadotnet_akka.net,'Akka.Configuration' 'Akka.Configuration.Hocon',2,N
8,akkadotnet_akka.net,'Akka.Configuration' 'Akka.Actor' 'Akka.Actor.Internal',3,N
9,akkadotnet_akka.net,'Akka.Configuration' 'Akka.Actor' 'Akka.Util' 'Akka.IO',4,N
10,akkadotnet_akka.net,'Akka.Dispatch' 'Akka.Actor',2,N
11,akkadotnet_akka.net,'Akka.Dispatch' 'Akka.Actor' 'Akka.Actor.Internal',3,N
12,akkadotnet_akka.net,'Akka.Dispatch' 'Akka.Actor' 'Akka.Util' 'Akka.IO',4,N
13,akkadotnet_akka.net,'Akka.Dispatch.MessageQueues' 'Akka.Actor',2,N
14,akkadotnet_akka.net,'Akka.Dispatch.MessageQueues' 'Akka.Actor' 'Akka.Actor.Internal',3,N
15,akkadotnet_akka.net,'Akka.Dispatch.SysMsg' 'Akka.Actor',2,N
16,akkadotnet_akka.net,'Akka.Dispatch.SysMsg' 'Akka.Actor' 'Akka.Actor.Internal',3,N
17,akkadotnet_akka.net,'Akka.Event' 'Akka.Actor',2,N
18,akkadotnet_akka.net,'Akka.Event' 'Akka.Actor' 'Akka.Util' 'Akka.IO',4,N
19,akkadotnet_akka.net,'Akka.IO.Buffers' 'Akka.Actor' 'Akka.Util' 'Akka.IO',4,N
20,akkadotnet_akka.net,'Akka.IO.Buffers' 'Akka.Actor' 'Akka.Actor.Internal' 'Akka.Util' 'Akka.IO',5,N
21,akkadotnet_akka.net,'Akka.IO' 'Akka.Util',2,N
22,akkadotnet_akka.net,'Akka.IO' 'Akka.Actor' 'Akka.Actor.Internal' 'Akka.Util',4,N
23,akkadotnet_akka.net,'Akka.Pattern' 'Akka.Actor',2,N
24,akkadotnet_akka.net,'Akka.Pattern' 'Akka.Event' 'Akka.Actor',3,N
25,akkadotnet_akka.net,'Akka.Pattern' 'Akka.Actor' 'Akka.Util' 'Akka.IO',4,N
26,akkadotnet_akka.net,'Akka.Routing' 'Akka.Actor',2,N
27,akkadotnet_akka.net,'Akka.Routing' 'Akka.Configuration' 'Akka.Actor',3,N
28,akkadotnet_akka.net,'Akka.Serialization' 'Akka.Actor',2,N
29,akkadotnet_akka.net,'Akka.Serialization' 'Akka.Actor' 'Akka.Actor.Internal',3,N
30,akkadotnet_akka.net,'Akka.Cluster' 'Akka.Cluster.Routing',2,N
31,akkadotnet_akka.net,'Akka.Cluster.Tools.PublishSubscribe' 'Akka.Cluster.Tools.PublishSubscribe.Internal',2,N
32,akkadotnet_akka.net,'Akka.DistributedData' 'Akka.DistributedData.Internal',2,N
33,akkadotnet_akka.net,'Akka.DistributedData' 'Akka.DistributedData.Durable' 'Akka.DistributedData.Internal',3,N
34,akkadotnet_akka.net,'Akka.DistributedData.Durable' 'Akka.DistributedData',2,N
35,akkadotnet_akka.net,'Akka.Persistence' 'Akka.Persistence.Serialization',2,N
36,akkadotnet_akka.net,'Akka.Persistence' 'Akka.Persistence.Serialization' 'Akka.Persistence.Fsm',3,N
37,akkadotnet_akka.net,'Akka.Persistence.Fsm' 'Akka.Persistence.Serialization',2,N
38,akkadotnet_akka.net,'Akka.Persistence.Journal' 'Akka.Persistence',2,N
39,akkadotnet_akka.net,'Akka.Persistence.Sql.Common.Journal' 'Akka.Persistence.Sql.Common',2,N
40,akkadotnet_akka.net,'Akka.Remote' 'Akka.Remote.Transport',2,N
41,akkadotnet_akka.net,'Akka.Remote' 'Akka.Remote.Transport' 'Akka.Remote.Serialization',3,N
42,akkadotnet_akka.net,'Akka.Remote.Serialization' 'Akka.Remote',2,N
43,akkadotnet_akka.net,'Akka.Streams' 'Akka.Streams.Implementation',2,N
44,akkadotnet_akka.net,'Akka.Streams' 'Akka.Streams.Implementation' 'Akka.Streams.Implementation.Fusing',3,N
45,akkadotnet_akka.net,'Akka.Streams.Actors' 'Akka.Streams.Implementation',2,N
46,akkadotnet_akka.net,'Akka.Streams.Actors' 'Akka.Streams' 'Akka.Streams.Implementation',3,N
47,akkadotnet_akka.net,'Akka.Streams.Actors' 'Akka.Streams' 'Akka.Streams.Implementation' 'Akka.Streams.Implementation.Fusing',4,N
48,akkadotnet_akka.net,'Akka.Streams.Dsl' 'Akka.Streams',2,N
49,akkadotnet_akka.net,'Akka.Streams.Dsl' 'Akka.Streams' 'Akka.Streams.Implementation',3,N
50,akkadotnet_akka.net,'Akka.Streams.Dsl.Internal' 'Akka.Streams.Dsl',2,N
51,akkadotnet_akka.net,'Akka.Streams.Dsl.Internal' 'Akka.Streams' 'Akka.Streams.Dsl',3,N
52,akkadotnet_akka.net,'Akka.Streams.Dsl.Internal' 'Akka.Streams' 'Akka.Streams.Implementation' 'Akka.Streams.Dsl',4,N
53,akkadotnet_akka.net,'Akka.Streams.Implementation' 'Akka.Streams' 'Akka.Streams.Stage',3,N
54,akkadotnet_akka.net,'Akka.Streams.Implementation.Fusing' 'Akka.Streams',2,N
55,akkadotnet_akka.net,'Akka.Streams.Implementation.IO' 'Akka.Streams.Dsl',2,N
56,akkadotnet_akka.net,'Akka.Streams.Implementation.IO' 'Akka.Streams.Actors' 'Akka.Streams.Dsl',3,N
57,akkadotnet_akka.net,'Akka.Streams.Implementation.IO' 'Akka.Streams.Actors' 'Akka.Streams' 'Akka.Streams.Dsl',4,N
58,akkadotnet_akka.net,'Akka.Streams.Implementation.IO' 'Akka.Streams.Actors' 'Akka.Streams' 'Akka.Streams.Implementation' 'Akka.Streams.Dsl',5,N
59,akkadotnet_akka.net,'Akka.Streams.Implementation.Stages' 'Akka.Streams' 'Akka.Streams.Implementation',3,N
60,akkadotnet_akka.net,'Akka.Streams.Implementation.Stages' 'Akka.Streams' 'Akka.Streams.Implementation' 'Akka.Streams.Implementation.Fusing',4,N
61,akkadotnet_akka.net,'Akka.Streams.Implementation.StreamRef' 'Akka.Streams.Dsl',2,N
62,akkadotnet_akka.net,'Akka.Streams.Implementation.StreamRef' 'Akka.Streams' 'Akka.Streams.Dsl',3,N
63,akkadotnet_akka.net,'Akka.Streams.Implementation.StreamRef' 'Akka.Streams' 'Akka.Streams.Implementation' 'Akka.Streams.Dsl',4,N
64,akkadotnet_akka.net,'Akka.Streams.Serialization' 'Akka.Streams.Implementation.StreamRef',2,N
65,akkadotnet_akka.net,'Akka.Streams.Stage' 'Akka.Streams',2,N
1,andyfmiller_LtiLibrary,'LtiLibrary.NetCore.Common' 'LtiLibrary.NetCore.Lis.v1',2,N
1,Anna-Rx_Anna,'Anna.Request' 'Anna.Responses',2,N
1,appium_appium-dotnet-driver,'OpenQA.Selenium.Appium.Android' 'OpenQA.Selenium.Appium',2,N
2,appium_appium-dotnet-driver,'OpenQA.Selenium.Appium.Android' 'OpenQA.Selenium.Appium.Service' 'OpenQA.Selenium.Appium.Service.Options' 'OpenQA.Selenium.Appium',4,N
3,appium_appium-dotnet-driver,'OpenQA.Selenium.Appium.Android.Interfaces' 'OpenQA.Selenium.Appium.Android',2,N
4,appium_appium-dotnet-driver,'OpenQA.Selenium.Appium' 'OpenQA.Selenium.Appium.Service' 'OpenQA.Selenium.Appium.Service.Options',3,N
5,appium_appium-dotnet-driver,'OpenQA.Selenium.Appium.PageObjects' 'OpenQA.Selenium.Appium.PageObjects.Interceptors',2,N
6,appium_appium-dotnet-driver,'OpenQA.Selenium.Appium.Service' 'OpenQA.Selenium.Appium.Service.Options',2,N
1,arenanet_socknet,'ArenaNet.SockNet.Common.IO' 'ArenaNet.SockNet.Common',2,N
1,ArxOne_MrAdvice,'ArxOne.MrAdvice' 'ArxOne.MrAdvice.Advice',2,N
2,ArxOne_MrAdvice,'ArxOne.MrAdvice' 'ArxOne.MrAdvice.Annotation' 'ArxOne.MrAdvice.Advice',3,N
3,ArxOne_MrAdvice,'ArxOne.MrAdvice.Advice' 'ArxOne.MrAdvice' 'ArxOne.MrAdvice.Aspect' 'ArxOne.MrAdvice.Introduction',4,N
4,ArxOne_MrAdvice,'ArxOne.MrAdvice.Annotation' 'ArxOne.MrAdvice.Advice',2,N
5,ArxOne_MrAdvice,'ArxOne.MrAdvice.Aspect' 'ArxOne.MrAdvice.Advice' 'ArxOne.MrAdvice',3,N
6,ArxOne_MrAdvice,'ArxOne.MrAdvice.Introduction' 'ArxOne.MrAdvice' 'ArxOne.MrAdvice.Aspect',3,N
7,ArxOne_MrAdvice,'ArxOne.MrAdvice.Pointcut' 'ArxOne.MrAdvice.Annotation' 'ArxOne.MrAdvice.Advice' 'ArxOne.MrAdvice',4,N
8,ArxOne_MrAdvice,'ArxOne.MrAdvice.Utility' 'ArxOne.MrAdvice.Weaver',2,N
1,ashmind_TryRoslyn,'SharpLab.Server.Common' 'SharpLab.Server.Common.Languages',2,N
2,ashmind_TryRoslyn,'SharpLab.Server.Execution' 'SharpLab.Server.Execution.Internal',2,N
3,ashmind_TryRoslyn,'SharpLab.Server.Execution' 'SharpLab.Server.AspNetCore.Execution' 'SharpLab.Server.Execution.Internal',3,N
4,ashmind_TryRoslyn,'SharpLab.Server.AspNetCore.Execution' 'SharpLab.Server.Execution',2,N
5,ashmind_TryRoslyn,'SharpLab.Server.Explanation' 'SharpLab.Server.Explanation.Internal',2,N
1,aspnet_DataProtection,'Microsoft.AspNetCore.Cryptography.Cng' 'Microsoft.AspNetCore.Cryptography',2,N
2,aspnet_DataProtection,'Microsoft.AspNetCore.Cryptography.Cng' 'Microsoft.AspNetCore.Cryptography' 'Microsoft.AspNetCore.Cryptography.SafeHandles',3,N
3,aspnet_DataProtection,'Microsoft.AspNetCore.Cryptography.SafeHandles' 'Microsoft.AspNetCore.Cryptography.Cng',2,N
4,aspnet_DataProtection,'Microsoft.AspNetCore.Cryptography.KeyDerivation' 'Microsoft.AspNetCore.Cryptography.KeyDerivation.PBKDF2',2,N
5,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal',2,N
6,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',3,N
7,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement',4,N
8,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',5,N
9,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection',2,N
10,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel' 'Microsoft.AspNetCore.DataProtection',2,N
11,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal',3,N
12,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Cng' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',2,N
13,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Cng' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',3,N
14,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Cng' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',4,N
15,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Cng.Internal' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection.Cng',3,N
16,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Cng.Internal' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection.Cng',4,N
17,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Cng.Internal' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection.Cng',5,N
18,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.KeyManagement',3,N
19,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.KeyManagement' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',2,N
20,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.KeyManagement' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection',3,N
21,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.KeyManagement' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Internal',4,N
22,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.KeyManagement.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement',2,N
23,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.KeyManagement.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement' 'Microsoft.AspNetCore.DataProtection',3,N
24,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.KeyManagement.Internal' 'Microsoft.AspNetCore.DataProtection.KeyManagement' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption' 'Microsoft.AspNetCore.DataProtection',4,N
25,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Managed' 'Microsoft.AspNetCore.DataProtection',2,N
26,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Managed' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption',3,N
27,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Repositories' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection',3,N
28,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.Repositories' 'Microsoft.AspNetCore.DataProtection.Internal' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.KeyManagement',4,N
29,aspnet_DataProtection,'Microsoft.AspNetCore.DataProtection.SP800_108' 'Microsoft.AspNetCore.DataProtection' 'Microsoft.AspNetCore.DataProtection.Managed',3,N
