Index,Repository,Namespace list,Length,Counted
1,7Pass_7Pass-Remake,'SevenPass.Entry.ViewModels' 'SevenPass.ViewModels',2,N
2,7Pass_7Pass-Remake,'SevenPass.Entry.ViewModels' 'SevenPass.Services.Picker' 'SevenPass.ViewModels',3,N
3,7Pass_7Pass-Remake,'SevenPass.Entry.ViewModels' 'SevenPass.Services.Picker' 'SevenPass.Services.Databases' 'SevenPass.Messages',4,N
4,7Pass_7Pass-Remake,'SevenPass.Entry.ViewModels' 'SevenPass.Services.Picker' 'SevenPass.ViewModels' 'SevenPass.Services.Databases' 'SevenPass.Messages',5,N
5,7Pass_7Pass-Remake,'SevenPass.Messages' 'SevenPass.Services.Databases',2,N
6,7Pass_7Pass-Remake,'SevenPass.Messages' 'SevenPass.Entry.ViewModels' 'SevenPass.ViewModels',3,N
7,7Pass_7Pass-Remake,'SevenPass.Services.Picker' 'SevenPass.ViewModels',2,N
8,7Pass_7Pass-Remake,'SevenPass.ViewModels' 'SevenPass.Messages' 'SevenPass.Entry.ViewModels' 'SevenPass.Services.Picker',4,N
1,Aaronontheweb_helios,'Helios.Buffers' 'Helios.Util',2,N
2,Aaronontheweb_helios,'Helios.Channels' 'Helios.Concurrency',2,N
3,Aaronontheweb_helios,'Helios.Channels' 'Helios.Util.Concurrency' 'Helios.Concurrency',3,N
4,Aaronontheweb_helios,'Helios.Channels.Sockets' 'Helios.Channels',2,N
5,Aaronontheweb_helios,'Helios.Channels.Sockets' 'Helios.Concurrency' 'Helios.Channels',3,N
6,Aaronontheweb_helios,'Helios.Concurrency' 'Helios.Util.Concurrency',2,N
7,Aaronontheweb_helios,'Helios.Concurrency.Impl' 'Helios.Concurrency',2,N
8,Aaronontheweb_helios,'Helios.Concurrency.Impl' 'Helios.Util.Concurrency' 'Helios.Concurrency',3,N
9,Aaronontheweb_helios,'Helios.Logging' 'Helios.Util',2,N
10,Aaronontheweb_helios,'Helios.Net' 'Helios.Topology',2,N
