Project Name,Package Name,Cyclic Dependency,Unstable Dependency,Ambiguous Interface,God Component,Feature Concentration,Scattered Functionality,Dense Structure,Total Architecture Smells
4pr0n_ripme,com.rarchives.ripme,0,0,0,0,0,0,0,0
4pr0n_ripme,com.rarchives.ripme.ripper,3,1,0,0,1,1,0,6
4pr0n_ripme,com.rarchives.ripme.ripper.rippers,2,1,0,1,1,1,0,6
4pr0n_ripme,com.rarchives.ripme.ripper.rippers.ripperhelpers,0,0,0,0,0,0,0,0
4pr0n_ripme,com.rarchives.ripme.ripper.rippers.video,2,0,0,0,1,0,0,3
4pr0n_ripme,com.rarchives.ripme.ui,2,0,0,0,1,0,0,3
4pr0n_ripme,com.rarchives.ripme.utils,5,1,0,0,0,0,0,6
4pr0n_ripme,com.rarchives.ripme.tst,0,0,0,0,0,0,0,0
4pr0n_ripme,com.rarchives.ripme.tst.ripper.rippers,0,0,0,0,0,1,0,1
aalmiray_gipsy,org.kordamp.gipsy.transform,0,0,0,0,1,0,0,1
aalmiray_gipsy,org.kordamp.gipsy.transform.service,0,0,0,0,0,0,0,0
aalmiray_gipsy,org.kordamp.gipsy.transform.type,0,0,0,0,0,0,0,0
abel533_ECharts,com.github.abel533.echarts,26,0,0,1,1,2,1,31
abel533_ECharts,com.github.abel533.echarts.axis,4,0,0,0,0,1,1,6
abel533_ECharts,com.github.abel533.echarts.data,3,1,0,0,1,1,1,7
abel533_ECharts,com.github.abel533.echarts.feature,6,1,0,0,0,0,1,8
abel533_ECharts,com.github.abel533.echarts.json,6,0,0,0,0,0,1,7
abel533_ECharts,com.github.abel533.echarts.option,2,0,0,0,0,0,1,3
abel533_ECharts,com.github.abel533.echarts.series,14,1,0,0,0,2,1,18
abel533_ECharts,com.github.abel533.echarts.series.event,0,0,0,0,0,0,1,1
abel533_ECharts,com.github.abel533.echarts.series.force,2,0,0,0,0,0,1,3
abel533_ECharts,com.github.abel533.echarts.series.gauge,2,0,0,0,0,0,1,3
abel533_ECharts,com.github.abel533.echarts.series.other,2,0,0,0,0,0,1,3
abel533_ECharts,com.github.abel533.echarts.style,20,1,0,0,1,2,1,25
abel533_ECharts,com.github.abel533.echarts.style.itemstyle,5,0,0,0,0,2,1,8
abel533_ECharts,com.github.abel533.echarts.util,3,1,0,0,1,0,1,6
abel533_Mapper,tk.mybatis.mapper,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.base,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.base.delete,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.base.insert,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.base.select,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.common.base.update,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.common.condition,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.example,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.common.ids,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.rowbounds,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.special,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.common.sqlserver,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.provider.base,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.provider,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.base,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.base.delete,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.base.genid,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.base.update,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.cache,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.defaultenumtypehandler,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.entity.model,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.generatedvalue,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.helper,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.hsqldb,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.issues._216_datetime,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.keysql,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.mapper,0,0,0,1,1,0,0,2
abel533_Mapper,tk.mybatis.mapper.model,0,0,0,1,1,0,0,2
abel533_Mapper,tk.mybatis.mapper.typehandler,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.version,0,0,0,0,1,0,0,1
abel533_Mapper,tk.mybatis.mapper.annotation,0,0,0,1,1,0,0,2
abel533_Mapper,tk.mybatis.mapper.entity,3,1,0,0,1,2,0,7
abel533_Mapper,tk.mybatis.mapper.genid,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.gensql,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.mapperhelper,3,0,0,0,1,0,0,4
abel533_Mapper,tk.mybatis.mapper.mapperhelper.resolve,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.session,0,0,0,0,0,0,0,0
abel533_Mapper,tk.mybatis.mapper.util,4,1,0,0,1,1,0,7
abel533_Mapper,tk.mybatis.mapper.additional.aggregation,0,0,0,0,1,0,0,1
